choice_id,label,choice_group,option_key,menu_text,sets_state,apply_effects_raw,effects_mapped,jump_to,source_file,line_number,has_dag_choice_tag,has_dag_branch_tag,stat_effects_known,confidence
choice_0001,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_1,search_the_bureau_15_inspiration_10_corruption,"In the walnut bureau drawer. [[Search the bureau: +15 Inspiration, +10 Corruption]]","story.set_prologue_found(""read_letters"")","apply_effects(insp=15, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""15""}",day100_2_evening_flashback,main-game/non-prod-game/game/days/day100_non_canon.rpy,87,True,False,yes,medium
choice_0002,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_1,search_the_parlour_entrance_15_corruption,By the parlour settee. [[Search the parlour entrance: +15 Corruption]],"story.set_prologue_found(""overheard"")",apply_effects(corr=15),"{""corruption_delta"": ""15""}",day100_2_evening_flashback,main-game/non-prod-game/game/days/day100_non_canon.rpy,98,True,False,yes,medium
choice_0003,day100_2_reconvergence,day100_1_afternoon_boredom_menu_2,careful_posture,Lie — I was seeking a draft in the study. [[Careful posture]],"story.set_prologue_holywell_posture(""careful"")",,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,182,True,False,unknown,medium
choice_0004,day100_2_reconvergence,day100_1_afternoon_boredom_menu_2,eager_posture,Deflect — they are my pages. [[Eager posture]],"story.set_prologue_holywell_posture(""eager"")",apply_effects(insp=5),"{""inspiration_delta"": ""5""}",,main-game/non-prod-game/game/days/day100_non_canon.rpy,192,True,False,yes,medium
choice_0005,day100_2_reconvergence,day100_1_afternoon_boredom_menu_2,desperate_posture,Submit — throw myself on his mercy. [[Desperate posture]],"story.set_prologue_holywell_posture(""desperate"")",apply_effects(corr=5),"{""corruption_delta"": ""5""}",,main-game/non-prod-game/game/days/day100_non_canon.rpy,203,True,False,yes,medium
choice_0006,day100_2_reconvergence,day100_2_evening_flashback_menu_1,5_inspiration,For the shillings home. [[+5 Inspiration]],"story.set_prologue_why_write(""money_home"")",apply_effects(insp=5),"{""inspiration_delta"": ""5""}",,main-game/non-prod-game/game/days/day100_non_canon.rpy,224,True,False,yes,medium
choice_0007,day100_2_reconvergence,day100_2_evening_flashback_menu_1,5_inspiration_5_corruption,"To catalogue what power hides. [[+5 Inspiration, +5 Corruption]]","story.set_prologue_why_write(""cataloguer"")","apply_effects(insp=5, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""5""}",,main-game/non-prod-game/game/days/day100_non_canon.rpy,233,True,False,yes,medium
choice_0008,day100_2_reconvergence,day100_2_evening_flashback_menu_1,10_corruption,Because scandal tastes better than porridge. [[+10 Corruption]],"story.set_prologue_why_write(""scandal_hungry"")",apply_effects(corr=10),"{""corruption_delta"": ""10""}",day100_3_night_daydream,main-game/non-prod-game/game/days/day100_non_canon.rpy,242,True,False,yes,medium
choice_0009,day100_3_night_daydream,day100_3_night_daydream_menu_1,ghost_focus_1_ghost,"By becoming unseen, listening, and moving through the gaps. [[Ghost Focus: +1 Ghost]]","story.set_run_archetype_seed(""ghost"")",,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,292,True,False,unknown,medium
choice_0010,day100_3_night_daydream,day100_3_night_daydream_menu_1,prey_focus_1_prey,"By reading the threat, appeasing them, and redirecting the danger. [[Prey Focus: +1 Prey]]","story.set_run_archetype_seed(""prey"")",,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,300,True,False,unknown,medium
