gate_id,label,gate_type,condition,pass_to,fail_to,source_file,line_number,has_dag_gate_tag,confidence
gate_0001,day102_3_gideon_interrupts_controls_vance,condition,story.manuscript_progress == 0,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,1023,False,medium
gate_0002,day102_4_cora_writes_a_chapter,condition,story.manuscript_progress == 0,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,1088,False,medium
gate_0003,day102_4_cora_writes_a_chapter,writing_fuel,has_story_fuel(*WRITE_GATE_CH1),,,main-game/non-prod-game/game/days/day102_non_canon.rpy,1090,False,medium
gate_0004,day102_4_cora_writes_a_chapter,writing_fuel,has_story_fuel(*WRITE_GATE_CH2),,,main-game/non-prod-game/game/days/day102_non_canon.rpy,1128,False,medium
gate_0005,day103_morning,condition,story.manuscript_progress == 0,,,main-game/non-prod-game/game/days/day103_non_canon.rpy,53,False,medium
gate_0006,day103_3_bedroom_final_write,writing_fuel,"has_story_fuel(*WRITE_GATE_CH3) or story.day3_twilight_action == ""frantic_write""",,,main-game/non-prod-game/game/days/day103_non_canon.rpy,1203,False,medium
gate_0007,day104_4_twilight_ledger_false_dawn,anxiety,player.anxiety >= ANXIETY_WRITE_PARALYSIS,,,main-game/non-prod-game/game/days/day104_non_canon.rpy,612,False,medium
gate_0008,day104_6_false_dawn_ending,condition,story.manuscript_progress < 2,,,main-game/non-prod-game/game/days/day104_non_canon.rpy,960,False,medium
gate_0009,file,writing_fuel,player.inspiration < required_insp or player.corruption_level < required_corr,,,main-game/non-prod-game/game/shared/functions_non_canon.rpy,164,False,medium
gate_0010,file,anxiety,max_anxiety is not None and player.anxiety > max_anxiety,,,main-game/non-prod-game/game/shared/functions_non_canon.rpy,220,False,medium
gate_0011,file,anxiety,max_anxiety is not None and player.anxiety > max_anxiety,,,main-game/non-prod-game/game/shared/functions_non_canon.rpy,227,False,medium
gate_0012,watch_suspicion,anxiety,player.anxiety >= 100,,,main-game/non-prod-game/game/shared/story_chains_non_canon.rpy,26,False,medium
gate_0013,watch_suspicion,confrontation,"player.is_confrontation_ready(""stern"")",,,main-game/non-prod-game/game/shared/story_chains_non_canon.rpy,32,False,medium
gate_0014,watch_suspicion,confrontation,"player.is_confrontation_ready(""vance"")",,,main-game/non-prod-game/game/shared/story_chains_non_canon.rpy,36,False,medium
gate_0015,watch_suspicion,confrontation,"player.is_confrontation_ready(""missy"")",,,main-game/non-prod-game/game/shared/story_chains_non_canon.rpy,40,False,medium
