choice_id,label,choice_group,option_key,menu_text,sets_state,apply_effects_raw,effects_mapped,jump_to,source_file,line_number,has_dag_choice_tag,has_dag_branch_tag,stat_effects_known,confidence
choice_0001,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_1,5_inspiration,For the shillings home. [[+5 Inspiration]],"story.set_prologue_why_write(""money_home"")",apply_effects(insp=5),"{""inspiration_delta"": ""5""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,113,True,False,yes,medium
choice_0002,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_1,5_inspiration_5_corruption,"To catalogue what power hides. [[+5 Inspiration, +5 Corruption]]","story.set_prologue_why_write(""cataloguer"")","apply_effects(insp=5, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""5""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,121,True,False,yes,medium
choice_0003,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_1,10_corruption,Because scandal tastes better than porridge. [[+10 Corruption]],"story.set_prologue_why_write(""scandal_hungry"")",apply_effects(corr=10),"{""corruption_delta"": ""10""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,129,True,False,yes,medium
choice_0004,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_2,holywell_careful,"Carefully — one chapter, no ruin. [[Holywell: careful]]","story.set_prologue_holywell_posture(""careful"")",,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,142,True,False,unknown,medium
choice_0005,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_2,holywell_eager_5_inspiration,"Eager — I need a publisher before courage fails. [[Holywell: eager, +5 Inspiration]]","story.set_prologue_holywell_posture(""eager"")",apply_effects(insp=5),"{""inspiration_delta"": ""5""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,148,True,False,yes,medium
choice_0006,day100_1_afternoon_boredom,day100_1_afternoon_boredom_menu_2,holywell_desperate_5_corruption,"Desperate — I will pay any fee they ask. [[Holywell: desperate, +5 Corruption]]","story.set_prologue_holywell_posture(""desperate"")",apply_effects(corr=5),"{""corruption_delta"": ""5""}",day100_2_evening_flashback,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,155,True,False,yes,medium
choice_0007,day100_2_evening_flashback,day100_2_evening_flashback_menu_1,overhear_15_corruption,Press my ear to the parlour door. [[Overhear: +15 Corruption]],"story.set_prologue_found(""overheard"")",apply_effects(corr=15),"{""corruption_delta"": ""15""}",day100_2_parlour_branch,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,204,True,False,yes,medium
choice_0008,day100_2_evening_flashback,day100_2_evening_flashback_menu_1,read_letters_15_inspiration_10_corruption,"Read what the desk offers. [[Read letters: +15 Inspiration, +10 Corruption]]","story.set_prologue_found(""read_letters"")","apply_effects(insp=15, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""15""}",day100_2_desk_branch,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,211,True,False,yes,medium
choice_0009,day101_1_morning_interview,day101_1_morning_interview_menu_1,option_1,Lower my eyes. Let her mistake fear for obedience.,"story.set_day1_interview_state(""meek"")","apply_effects(stern_susp=5, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""stern_acute_susp_delta"": ""5""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,172,True,False,yes,medium
choice_0010,day101_1_morning_interview,day101_1_morning_interview_menu_1,option_2,Answer cleanly. Let competence do what meekness cannot.,"story.set_day1_interview_state(""competent"")","apply_effects(stern_susp=15, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""15""}",day101_1_vance_throws_toy,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,191,True,False,yes,medium
choice_0011,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,predator_path_inspiration_corruption,"Let Missy's concern open the door. [[Predator path: +Inspiration, +Corruption]]","story.set_corridor_state(""predator"")","apply_effects(insp=10, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""10""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,472,True,False,yes,medium
choice_0012,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,prey_path_inspiration_suspicion,"Look for myself. [[Prey path: +Inspiration, +Suspicion]]","story.set_corridor_state(""prey"")","apply_effects(vance_susp=35, insp=15, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""15"", ""vance_acute_susp_delta"": ""35""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,503,True,False,yes,medium
choice_0013,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,ghost_path_inspiration_suspicion,"Pull Missy away. [[Ghost path: +Inspiration, -Suspicion]]","story.set_corridor_state(""ghost"")","apply_effects(stern_susp=-5, vance_susp=-5, missy_susp=-5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""missy_acute_susp_delta"": ""-5"", ""stern_acute_susp_delta"": ""-5"", ""vance_acute_susp_delta"": ""-5""}",day101_3_taking_stock_day1,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,536,True,False,yes,medium
choice_0014,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_1,progress_manuscript,Write the first chapter of my manuscript. [[Progress manuscript]],,,,day101_4_write_the_chapter,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,613,True,False,unknown,medium
choice_0015,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_1,option_2,Listen for Miss Stern's keys in the west corridor.,,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,618,True,False,unknown,medium
choice_0016,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_1,option_3,Find Missy before the laundry goes cold.,,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,624,True,False,unknown,medium
choice_0017,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_1,option_4,Walk the guest wing where Mr. Locke's shoe still has authority.,,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,630,True,False,unknown,medium
choice_0018,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_1,rest_and_reflect,Stay at the desk and let the ink dry. [[Rest and reflect]],,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,636,True,False,unknown,medium
choice_0019,day101_3_taking_stock_day1,day101_3_taking_stock_day1_menu_2,inspiration,Order. Safety in structure. [[Inspiration]],"story.set_day1_ledger_focus(""inspiration"")","apply_effects(insp=15, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""15""}",,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,643,True,False,yes,medium
